Ticker,Window,Total Return %,Max Drawdown %,Win Rate %,Trades,2021,2022,2023,2024,2025,2026
MTX.DE,"Full [-5,+5]",18.37,-22.08,55.0,20,13.79,7.78,-11.69,8.23,6.16,-4.88
MUV2.DE,Buy & Hold,173.65,-25.36,—,0,14.2,22.28,27.77,34.63,19.39,-4.58
MUV2.DE,"Pre-Drift [-5,-1]",6.2,-9.71,55.0,20,5.69,-3.41,-5.11,-0.62,8.33,1.84
MUV2.DE,"Announcement [-1,+1]",3.67,-14.91,55.0,20,2.07,9.82,-1.17,5.61,-5.64,-6.09
MUV2.DE,"PEAD-Short [+1,+5]",20.19,-8.34,70.0,20,2.37,-0.62,9.12,7.33,2.1,-1.2
MUV2.DE,"PEAD-Long [+1,+20]",24.76,-16.91,50.0,20,-3.97,9.96,8.97,21.69,-0.74,-10.23
MUV2.DE,"Full [-5,+5]",32.33,-13.76,60.0,20,10.43,5.42,2.33,12.66,4.36,-5.51
PAH3.DE,Buy & Hold,-61.13,-63.88,—,0,-5.84,-36.5,-5.2,-17.22,15.89,-28.53
QIA.DE,Buy & Hold,-7.09,-43.42,—,0,22.48,-4.04,-16.19,9.32,-9.09,-5.09
QIA.DE,"Pre-Drift [-5,-1]",-2.94,-8.0,47.4,19,3.66,-1.73,-4.36,7.84,-6.19,-1.52
QIA.DE,"Announcement [-1,+1]",10.76,-10.23,68.4,19,4.35,7.67,0.74,9.01,-9.08,-1.27
QIA.DE,"PEAD-Short [+1,+5]",-13.04,-11.9,36.8,19,-5.29,4.22,-0.99,-3.02,-7.22,-1.09
QIA.DE,"PEAD-Long [+1,+20]",-16.45,-19.71,42.1,19,1.63,-11.18,4.05,-0.98,-4.45,-5.98
QIA.DE,"Full [-5,+5]",-6.52,-23.9,57.9,19,2.44,10.26,-4.61,14.0,-20.87,-3.84
RHM.DE,Buy & Hold,1198.99,-51.92,—,0,3.62,128.13,56.82,116.51,155.27,-36.6
RHM.DE,"Pre-Drift [-5,-1]",17.32,-11.99,60.0,20,2.88,5.06,-6.16,-0.06,7.35,7.81
RHM.DE,"Announcement [-1,+1]",-7.94,-23.59,45.0,20,2.9,-11.97,-5.87,18.55,3.89,-12.33
RHM.DE,"PEAD-Short [+1,+5]",59.01,-15.56,75.0,20,0.37,22.57,7.3,24.56,10.62,-12.57
RHM.DE,"PEAD-Long [+1,+20]",85.13,-24.12,60.0,20,-10.17,52.2,-2.37,51.61,7.23,-14.68
RHM.DE,"Full [-5,+5]",71.74,-21.23,65.0,20,6.25,13.35,-5.22,47.58,23.37,-17.36
RWE.DE,Buy & Hold,115.95,-32.19,—,0,18.28,19.08,1.17,-27.81,62.21,29.42
RWE.DE,"Pre-Drift [-5,-1]",30.5,-2.66,63.2,19,1.07,11.51,1.75,10.8,2.23,0.47
RWE.DE,"Announcement [-1,+1]",3.98,-6.01,52.6,19,-1.32,-0.35,7.17,-0.92,1.54,-1.93
RWE.DE,"PEAD-Short [+1,+5]",29.12,-3.98,73.7,19,8.69,14.22,-0.9,0.59,1.12,3.18
RWE.DE,"PEAD-Long [+1,+20]",56.84,-9.67,63.2,19,14.29,20.46,1.54,3.49,3.76,4.47
RWE.DE,"Full [-5,+5]",75.21,-6.44,73.7,19,8.4,26.92,8.08,10.42,4.97,1.66
SAP.DE,Buy & Hold,18.34,-51.59,—,0,-0.45,-20.7,47.17,71.56,-11.03,-33.27
SAP.DE,"Pre-Drift [-5,-1]",13.13,-6.63,63.2,19,1.91,6.62,-1.98,-2.32,6.54,2.07
SAP.DE,"Announcement [-1,+1]",7.61,-18.72,60.0,20,1.6,-3.74,0.16,23.62,3.95,-14.52
SAP.DE,"PEAD-Short [+1,+5]",10.12,-8.62,55.0,20,4.37,-0.94,10.1,0.46,-2.49,-1.25
SAP.DE,"PEAD-Long [+1,+20]",34.27,-19.16,75.0,20,12.64,-4.84,20.23,7.65,-8.55,5.82
SAP.DE,"Full [-5,+5]",34.61,-21.09,63.2,19,8.53,1.66,8.09,21.32,7.99,-13.85
G24.DE,Buy & Hold,8.64,-48.2,—,0,-15.52,-22.24,39.09,34.9,1.94,-13.54
G24.DE,"Pre-Drift [-5,-1]",16.65,-6.88,57.1,14,-2.45,10.87,-0.52,2.1,6.2,
G24.DE,"Announcement [-1,+1]",15.02,-1.53,71.4,14,-0.8,5.01,10.01,1.07,-0.7,
G24.DE,"PEAD-Short [+1,+5]",11.53,-11.64,57.1,14,1.58,-5.38,12.72,5.02,-1.98,
G24.DE,"PEAD-Long [+1,+20]",11.52,-13.33,57.1,14,-6.74,-5.54,23.53,-0.94,3.45,
G24.DE,"Full [-5,+5]",49.62,-1.36,85.7,14,-1.71,10.16,23.35,8.38,3.36,
SIE.DE,Buy & Hold,139.97,-38.97,—,0,17.99,-12.68,34.91,14.13,29.8,16.54
SIE.DE,"Pre-Drift [-5,-1]",17.25,-8.4,75.0,20,4.19,1.45,3.33,-5.7,5.32,8.08
SIE.DE,"Announcement [-1,+1]",38.48,-8.83,70.0,20,2.81,17.26,12.15,-0.78,3.89,-0.64
SIE.DE,"PEAD-Short [+1,+5]",-15.54,-20.36,40.0,20,6.05,-6.89,-1.63,0.6,-6.27,-7.77
SIE.DE,"PEAD-Long [+1,+20]",4.72,-19.06,55.0,20,2.8,-19.06,19.26,18.58,0.38,-11.33
SIE.DE,"Full [-5,+5]",37.13,-11.62,65.0,20,13.6,10.75,14.0,-5.88,2.55,-0.95
ENR.DE,Buy & Hold,585.36,-72.87,—,0,-0.93,-21.45,-31.72,319.83,138.98,28.55
ENR.DE,"Pre-Drift [-5,-1]",32.95,-9.04,65.0,20,8.72,7.0,3.51,1.1,6.34,2.71
ENR.DE,"Announcement [-1,+1]",19.27,-8.82,55.0,20,-2.74,-4.7,8.29,23.6,-2.27,-1.64
ENR.DE,"PEAD-Short [+1,+5]",56.13,-7.43,70.0,20,2.72,10.92,-1.34,19.45,17.58,-1.1
ENR.DE,"PEAD-Long [+1,+20]",87.14,-17.3,55.0,20,1.87,36.69,-5.87,36.06,16.28,-9.77
ENR.DE,"Full [-5,+5]",147.57,-11.01,65.0,20,8.62,13.1,10.59,49.27,22.19,-0.09
SHL.DE,Buy & Hold,-29.96,-45.44,—,0,22.48,-27.91,14.68,-0.82,-10.78,-21.83
